"HHNR_WEEKDAY_WEEKENDAY"
"426842_415443"
"202128_349570"
"416502_491203"
"131618_185924"
"400410_461912"
"316167_455079"
"269469_164333"
"363829_191271"
"167380_190938"
"138328_161776"
"266160_387295"
"143606_159169"
"107545_232963"
"374220_129707"
"136514_268763"
"207214_163855"
"279975_247365"
"132660_215693"
"442056_141293"
"399896_466831"
"128658_460771"
"149736_463934"
"279173_426362"
"241514_386890"
"190343_183368"
"231482_390392"
"452627_166140"
"347318_479466"
"400017_395597"
"320047_251042"
"159854_427277"
"413878_132083"
"242956_490970"
"372989_197711"
"315347_218630"
"399161_499528"
"304798_329727"
"482725_431940"
"428335_253584"
"489474_116941"
"281762_446077"
"207346_310435"
"176250_321170"
"133121_126669"
"414942_129745"
"215657_446141"
"453090_453628"
"290294_315762"
"439361_104062"
"195717_476978"
"226204_358907"
"136424_465521"
"176302_212128"
"165463_114994"
"274377_131868"
"333147_371112"
"401606_327398"
"436655_423987"
"362210_103928"
"124767_452992"
"348559_199113"
"184488_348410"
"398727_130670"
"452534_390608"
"171924_179870"
"255847_408372"
"223579_132879"
"487746_426443"
"384208_132369"
"332731_291094"
"346044_156049"
"445709_437197"
"360271_416948"
"262670_348368"
"291223_340652"
"155673_264183"
"161864_110580"
"121393_290545"
"399888_412610"
"431653_141884"
"321155_358130"
"125769_428119"
"297580_382647"
"140955_210114"
"134287_378166"
"278239_166235"
"264410_288685"
"324140_115823"
"420451_168300"
"413483_499510"
"382374_195341"
"293052_303207"
"404234_320354"
"285137_419838"
"331379_298581"
"442052_119733"
"231232_167277"
"470270_459035"
"203262_145580"
"102724_154199"
