HP_rating;T_dist;T_outside;P_el;COP
11;35;-2;3.2;2.88
11;35;2;2.8;3.20
11;35;7;2.6;4.46
11;35;12;2.5;4.98
11;35;15;2.5;5.44
11;35;20;2.4;6.33
11;40;-20;4.5;1.63
11;40;-15;4.7;1.82
11;40;-10;4.1;2.07
11;40;-7;3.8;2.26
11;40;-2;3.5;2.51
11;40;2;3.1;2.75
11;40;7;2.8;3.95
11;40;12;2.8;4.42
11;40;15;2.7;4.83
11;40;20;2.7;5.60
11;45;-20;4.7;1.44
11;45;-15;4.7;1.67
11;45;-10;4.3;1.87
11;45;-7;4.1;2.01
11;45;-2;3.8;2.25
11;45;2;3.4;2.58
11;45;7;3.2;3.48
11;45;12;3.1;3.89
11;45;15;3.1;4.24
11;45;20;3.0;4.93
11;50;-20;;
11;50;-15;4.7;1.47
11;50;-10;4.6;1.64
11;50;-7;4.6;1.74
11;50;-2;4.3;2.00
11;50;2;3.8;2.21
11;50;7;3.5;3.03
11;50;12;3.5;3.38
11;50;15;3.5;3.69
11;50;20;3.4;4.16
11;55;-20;;
11;55;-15;4.8;0.94
11;55;-10;4.7;1.34
11;55;-7;4.7;1.52
11;55;-2;4.6;1.70
11;55;2;4.2;1.81
11;55;7;3.9;2.54
11;55;12;3.9;2.84
11;55;15;3.9;3.11
11;55;20;3.8;3.51
14;30;-20;4.9;1.82
14;30;-15;5.0;2.08
14;30;-10;4.7;2.44
14;30;-7;4.5;2.68
14;30;-2;3.7;3.06
14;30;2;3.3;3.46
14;30;7;3.1;4.92
14;30;12;3.0;5.38
14;30;15;3.0;5.85
14;30;20;2.9;6.75
14;35;-20;5.3;1.70
14;35;-15;5.3;1.91
14;35;-10;5.0;2.20
14;35;-7;4.9;2.40
14;35;-2;4.1;2.72
14;35;2;3.6;3.05
14;35;7;3.3;4.36
14;35;12;3.3;4.70
14;35;15;3.3;5.11
14;35;20;3.2;5.88
14;40;-20;5.6;1.57
14;40;-15;5.6;1.75
14;40;-10;5.4;1.99
14;40;-7;5.3;2.14
14;40;-2;4.5;2.41
14;40;2;3.9;2.69
14;40;7;3.7;3.74
14;40;12;3.6;4.07
14;40;15;3.6;4.43
14;40;20;3.6;5.10
14;45;-20;5.6;1.28
14;45;-15;5.6;1.60
14;45;-10;5.6;1.83
14;45;-7;5.6;1.97
14;45;-2;4.8;2.17
14;45;2;4.3;2.45
14;45;7;4.1;3.29
14;45;12;4.0;3.59
14;45;15;4.0;3.90
14;45;20;4.0;4.48
14;50;-20;;
14;50;-15;5.6;1.47
14;50;-10;5.6;1.65
14;50;-7;5.6;1.75
14;50;-2;5.2;1.95
14;50;2;4.7;2.19
14;50;7;4.6;2.93
14;50;12;4.4;3.19
14;50;15;4.5;3.46
14;50;20;4.4;3.87
14;55;-20;;
14;55;-15;6.2;1.06
14;55;-10;5.8;1.41
14;55;-7;5.6;1.56
14;55;-2;5.2;1.70
14;55;2;5.2;1.90
14;55;7;5.1;2.52
14;55;12;4.9;2.75
14;55;15;4.9;2.99
14;55;20;4.9;3.33
16;30;-20;5.6;1.71
16;30;-15;5.8;1.84
16;30;-10;5.3;2.25
16;30;-7;5.0;2.53
16;30;-2;4.2;2.86
16;30;2;3.7;3.21
16;30;7;3.5;4.81
16;30;12;3.4;5.16
16;30;15;3.4;5.60
16;30;20;3.3;6.43
16;35;-20;5.9;1.64
16;35;-15;6.2;1.71
16;35;-10;5.7;2.04
16;35;-7;5.4;2.28
16;35;-2;4.6;2.55
16;35;2;4.0;2.85
16;35;7;3.7;4.30
16;35;12;3.7;4.54
16;35;15;3.7;4.92
16;35;20;3.7;5.64
16;40;-20;6.3;1.52
16;40;-15;6.2;1.59
16;40;-10;6.0;1.87
16;40;-7;5.9;2.05
16;40;-2;5.1;2.27
16;40;2;4.4;2.52
16;40;7;4.2;3.71
16;40;12;4.1;3.97
16;40;15;4.1;4.30
16;40;20;4.1;4.94
16;45;-20;6.3;1.22
16;45;-15;6.3;1.53
16;45;-10;6.3;1.71
16;45;-7;6.3;1.82
16;45;-2;5.5;2.06
16;45;2;4.8;2.39
16;45;7;4.6;3.29
16;45;12;4.5;3.51
16;45;15;4.5;3.81
16;45;20;4.5;4.35
16;50;-20;;
16;50;-15;6.3;1.40
16;50;-10;6.3;1.55
16;50;-7;6.3;1.63
16;50;-2;5.8;1.81
16;50;2;5.4;2.04
16;50;7;5.1;2.86
16;50;12;5.0;3.05
16;50;15;5.0;3.31
16;50;20;5.0;3.78
16;55;-20;;
16;55;-15;7.1;0.98
16;55;-10;6.6;1.31
16;55;-7;6.3;1.46
16;55;-2;5.8;1.62
16;55;2;5.8;1.78
16;55;7;5.6;2.48
16;55;12;5.5;2.64
16;55;15;5.5;2.86
16;55;20;5.5;3.27
