"HHNR_WEEKDAY_WEEKENDAY"
"119187_284984"
"124509_229079"
"135543_145743"
"470454_107752"
"475934_395933"
"186047_300927"
"152027_439595"
"341133_412129"
"178341_371839"
"457962_477444"
"333426_333848"
"151111_332240"
"439995_314060"
"203848_203844"
"453860_434212"
"408056_291831"
"119601_444244"
"317823_409063"
"393611_123645"
"349344_126998"
"159947_428742"
"434328_244028"
"123951_325641"
"385232_254096"
"153528_371665"
"477748_110634"
"394796_260236"
"305335_236161"
"365592_433977"
"204956_238291"
"106254_440171"
"128865_156507"
"123993_399316"
"106697_136989"
"117104_405903"
"180466_124993"
"418368_412946"
"212489_126194"
"137245_191096"
"457273_183255"
"409835_144027"
"369971_133057"
"298432_473482"
"194988_443304"
"377361_183411"
"483299_317511"
"350099_194694"
"417430_337789"
"170477_257361"
"135969_353240"
"380574_112656"
"231911_483567"
"266157_412288"
"402955_341323"
"224064_407835"
"434960_330764"
"399145_314226"
"342718_102294"
"229706_218767"
"108868_296538"
"117010_114675"
"478489_326708"
"235268_120758"
"404426_391170"
"371092_416360"
"235175_289622"
"229293_143086"
"476844_131135"
"127173_460564"
"365731_199811"
"134533_389571"
"109822_303068"
"272938_275172"
"327357_456546"
"278236_429554"
"424125_198138"
"250756_414296"
"268853_198004"
"292471_228420"
"323845_239586"
"399960_391745"
"320220_388833"
"116580_375975"
"442171_161289"
"488890_429691"
"222013_252600"
"129517_209358"
"468705_366405"
"124665_191034"
"448364_237491"
"164807_331443"
"269853_143732"
"411230_425196"
"434681_188845"
"369865_481372"
"306011_111316"
"163953_430784"
"283890_227600"
"201779_487232"
"340051_381548"
